"log_stars","Stars","Forks","Issues","Size","language","age_group","created_year","log_size"
6.31173480915291,550,53,6,614,"JavaScript","Old",2013,6.42162226780652
5.56452040732269,260,76,1,61184,"Python","Old",2017,11.0216573404198
5.82304589548302,337,95,16,3981,"C","Old",2011,8.28953948462414
5.30330490805908,200,31,15,195,"JavaScript","Old",2015,5.27811465923052
5.48063892334199,239,8,3,536,"Rust","New",2020,6.28599809450886
5.89164421182577,361,61,5,3772,"Python","Old",2011,8.23562571996431
5.82008293035236,336,52,1,276,"","New",2020,5.62401750618734
5.90263333340137,365,34,3,767,"Python","New",2019,6.64378973314767
8.52098598965493,5018,5278,16,152888,"Jupyter Notebook","Old",2018,11.9374674468831
5.90808293816893,367,160,2,173,"C","Old",2013,5.15905529921453
8.92025541490809,7481,1706,47,230628,"","Old",2018,12.3485656378
6.84268328223842,936,385,6,4947,"","New",2020,8.50673873351238
5.71373280550937,302,15,17,49768,"Rust","New",2023,10.8151475792256
5.20948615284142,182,10,2,23655,"C++","Old",2016,10.0713720615323
5.31811999384422,203,12,2,514651,"Shell","New",2022,13.1512462230834
6.13772705408623,462,558,0,319,"Ruby","Old",2010,5.76832099579377
5.19849703126583,180,55,18,265,"Dart","Old",2018,5.5834963087817
5.61312810638807,273,62,12,524,"Jupyter Notebook","New",2020,6.26339826259162
5.4510384535657,232,38,0,3504,"Objective-C","Old",2011,8.16194579946869
6.15909538849193,472,138,7,177,"JavaScript","Old",2016,5.18178355029209
5.19849703126583,180,17,18,16816,"Python","New",2021,9.73014555852275
5.16478597392351,174,629,1,1828,"","New",2021,7.51152464839087
5.82008293035236,336,124,57,1534,"PHP","Old",2013,7.3362856600213
5.68697535633982,294,60,5,431,"Shell","Old",2017,6.06842558824411
6.87729607149743,969,87,44,110139,"TypeScript","New",2019,11.6095075628165
5.6937321388027,296,28,9,40448,"C++","New",2020,10.6077972003022
7.68248244653451,2169,912,22,814,"JavaScript","Old",2012,6.70318811324086
5.82008293035236,336,118,22,724,"JavaScript","Old",2015,6.58617165485467
6.78897174299217,887,229,10,26329,"Python","New",2019,10.1784642524904
5.8111409929767,333,658,6,1011,"Shell","Old",2015,6.91968384984741
6.21260609575152,498,53,29,1548,"Ruby","New",2021,7.34536484041687
5.65948221575962,286,50,0,369560,"","New",2022,12.8200710937016
